"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"2002","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","71.5"
"2002","Spain","Total","From 15 to 64 years","Total","Percentage","66.4"
"2002","France","Total","From 15 to 64 years","Total","Percentage","69.0"
"2002","Italy","Total","From 15 to 64 years","Total","Percentage","61.0"
"2002","Portugal","Total","From 15 to 64 years","Total","Percentage","72.6"
"2002","Finland","Total","From 15 to 64 years","Total","Percentage","77.2"
"2002","United Kingdom","Total","From 15 to 64 years","Total","Percentage","75.0"
"2003","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","72.1"
"2003","Spain","Total","From 15 to 64 years","Total","Percentage","67.8"
"2003","France","Total","From 15 to 64 years","Total","Percentage","69.8"
"2003","Italy","Total","From 15 to 64 years","Total","Percentage","61.6"
"2003","Portugal","Total","From 15 to 64 years","Total","Percentage","72.8"
"2003","Finland","Total","From 15 to 64 years","Total","Percentage","76.8"
"2003","United Kingdom","Total","From 15 to 64 years","Total","Percentage","75.1"
"2004","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","72.1"
"2004","Spain","Total","From 15 to 64 years","Total","Percentage","68.7"
"2004","France","Total","From 15 to 64 years","Total","Percentage","69.7"
"2004","Italy","Total","From 15 to 64 years","Total","Percentage","62.8"
"2004","Portugal","Total","From 15 to 64 years","Total","Percentage","72.6"
"2004","Finland","Total","From 15 to 64 years","Total","Percentage","76.2"
"2004","United Kingdom","Total","From 15 to 64 years","Total","Percentage","75.0"
"2005","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","73.8"
"2005","Spain","Total","From 15 to 64 years","Total","Percentage","70.0"
"2005","France","Total","From 15 to 64 years","Total","Percentage","69.7"
"2005","Italy","Total","From 15 to 64 years","Total","Percentage","62.5"
"2005","Portugal","Total","From 15 to 64 years","Total","Percentage","73.2"
"2005","Finland","Total","From 15 to 64 years","Total","Percentage","74.7"
"2005","United Kingdom","Total","From 15 to 64 years","Total","Percentage","75.4"
"2006","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","74.9"
"2006","Spain","Total","From 15 to 64 years","Total","Percentage","71.1"
"2006","France","Total","From 15 to 64 years","Total","Percentage","69.6"
"2006","Italy","Total","From 15 to 64 years","Total","Percentage","62.6"
"2006","Portugal","Total","From 15 to 64 years","Total","Percentage","73.6"
"2006","Finland","Total","From 15 to 64 years","Total","Percentage","75.2"
"2006","United Kingdom","Total","From 15 to 64 years","Total","Percentage","75.7"
"2007","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","75.6"
"2007","Spain","Total","From 15 to 64 years","Total","Percentage","71.8"
"2007","France","Total","From 15 to 64 years","Total","Percentage","69.7"
"2007","Italy","Total","From 15 to 64 years","Total","Percentage","62.4"
"2007","Portugal","Total","From 15 to 64 years","Total","Percentage","73.9"
"2007","Finland","Total","From 15 to 64 years","Total","Percentage","75.6"
"2007","United Kingdom","Total","From 15 to 64 years","Total","Percentage","75.5"
"2008","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","75.9"
"2008","Spain","Total","From 15 to 64 years","Total","Percentage","72.7"
"2008","France","Total","From 15 to 64 years","Total","Percentage","69.9"
