"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"2002","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","12.0"
"2002","Spain","Total","From 15 to 64 years","Total","Percentage","32.3"
"2002","France","Total","From 15 to 64 years","Total","Percentage","14.1"
"2002","Italy","Total","From 15 to 64 years","Total","Percentage","9.9"
"2002","Portugal","Total","From 15 to 64 years","Total","Percentage","21.7"
"2002","Finland","Total","From 15 to 64 years","Total","Percentage","17.2"
"2002","United Kingdom","Total","From 15 to 64 years","Total","Percentage","6.0"
"2003","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","12.2"
"2003","Spain","Total","From 15 to 64 years","Total","Percentage","32.0"
"2003","France","Total","From 15 to 64 years","Total","Percentage","13.3"
"2003","Italy","Total","From 15 to 64 years","Total","Percentage","9.5"
"2003","Portugal","Total","From 15 to 64 years","Total","Percentage","20.6"
"2003","Finland","Total","From 15 to 64 years","Total","Percentage","17.9"
"2003","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.7"
"2004","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","12.5"
"2004","Spain","Total","From 15 to 64 years","Total","Percentage","32.2"
"2004","France","Total","From 15 to 64 years","Total","Percentage","12.8"
"2004","Italy","Total","From 15 to 64 years","Total","Percentage","11.9"
"2004","Portugal","Total","From 15 to 64 years","Total","Percentage","19.7"
"2004","Finland","Total","From 15 to 64 years","Total","Percentage","17.1"
"2004","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.6"
"2005","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","14.3"
"2005","Spain","Total","From 15 to 64 years","Total","Percentage","33.4"
"2005","France","Total","From 15 to 64 years","Total","Percentage","13.9"
"2005","Italy","Total","From 15 to 64 years","Total","Percentage","12.2"
"2005","Portugal","Total","From 15 to 64 years","Total","Percentage","19.4"
"2005","Finland","Total","From 15 to 64 years","Total","Percentage","16.5"
"2005","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.7"
"2006","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","14.6"
"2006","Spain","Total","From 15 to 64 years","Total","Percentage","34.0"
"2006","France","Total","From 15 to 64 years","Total","Percentage","14.8"
"2006","Italy","Total","From 15 to 64 years","Total","Percentage","13.1"
"2006","Portugal","Total","From 15 to 64 years","Total","Percentage","20.4"
"2006","Finland","Total","From 15 to 64 years","Total","Percentage","16.3"
"2006","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.7"
"2007","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","14.7"
"2007","Spain","Total","From 15 to 64 years","Total","Percentage","31.6"
"2007","France","Total","From 15 to 64 years","Total","Percentage","15.1"
"2007","Italy","Total","From 15 to 64 years","Total","Percentage","13.2"
"2007","Portugal","Total","From 15 to 64 years","Total","Percentage","22.3"
"2007","Finland","Total","From 15 to 64 years","Total","Percentage","15.9"
"2007","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.7"
"2008","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","14.8"
"2008","Spain","Total","From 15 to 64 years","Total","Percentage","29.2"
"2008","France","Total","From 15 to 64 years","Total","Percentage","15.0"
"2008","Italy","Total","From 15 to 64 years","Total","Percentage","13.3"
"2008","Portugal","Total","From 15 to 64 years","Total","Percentage","22.8"
"2008","Finland","Total","From 15 to 64 years","Total","Percentage","14.9"
"2008","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.3"
"2009","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","14.6"
"2009","Spain","Total","From 15 to 64 years","Total","Percentage","25.3"
"2009","France","Total","From 15 to 64 years","Total","Percentage","14.4"
"2009","Italy","Total","From 15 to 64 years","Total","Percentage","12.4"
"2009","Portugal","Total","From 15 to 64 years","Total","Percentage","21.9"
"2009","Finland","Total","From 15 to 64 years","Total","Percentage","14.5"
"2009","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.5"
"2010","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","14.6"
"2010","Spain","Total","From 15 to 64 years","Total","Percentage","24.8"
"2010","France","Total","From 15 to 64 years","Total","Percentage","15.1"
"2010","Italy","Total","From 15 to 64 years","Total","Percentage","12.7"
"2010","Portugal","Total","From 15 to 64 years","Total","Percentage","22.8"
"2010","Finland","Total","From 15 to 64 years","Total","Percentage","15.4"
"2010","United Kingdom","Total","From 15 to 64 years","Total","Percentage","6.0"
"2011","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","14.6"
"2011","Spain","Total","From 15 to 64 years","Total","Percentage","25.2"
"2011","France","Total","From 15 to 64 years","Total","Percentage","15.3"
"2011","Italy","Total","From 15 to 64 years","Total","Percentage","13.3"
"2011","Portugal","Total","From 15 to 64 years","Total","Percentage","22.0"
"2011","Finland","Total","From 15 to 64 years","Total","Percentage","15.5"
"2011","United Kingdom","Total","From 15 to 64 years","Total","Percentage","6.0"
"2012","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","13.8"
"2012","Spain","Total","From 15 to 64 years","Total","Percentage","23.4"
"2012","France","Total","From 15 to 64 years","Total","Percentage","15.2"
"2012","Italy","Total","From 15 to 64 years","Total","Percentage","13.8"
"2012","Portugal","Total","From 15 to 64 years","Total","Percentage","20.5"
"2012","Finland","Total","From 15 to 64 years","Total","Percentage","15.5"
"2012","United Kingdom","Total","From 15 to 64 years","Total","Percentage","6.2"
"2013","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","13.4"
"2013","Spain","Total","From 15 to 64 years","Total","Percentage","23.2"
"2013","France","Total","From 15 to 64 years","Total","Percentage","15.3"
"2013","Italy","Total","From 15 to 64 years","Total","Percentage","13.2"
"2013","Portugal","Total","From 15 to 64 years","Total","Percentage","21.4"
"2013","Finland","Total","From 15 to 64 years","Total","Percentage","15.3"
"2013","United Kingdom","Total","From 15 to 64 years","Total","Percentage","6.0"
"2014","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","13.1"
"2014","Spain","Total","From 15 to 64 years","Total","Percentage","24.0"
"2014","France","Total","From 15 to 64 years","Total","Percentage","15.3"
"2014","Italy","Total","From 15 to 64 years","Total","Percentage","13.6"
"2014","Portugal","Total","From 15 to 64 years","Total","Percentage","21.4"
"2014","Finland","Total","From 15 to 64 years","Total","Percentage","15.4"
"2014","United Kingdom","Total","From 15 to 64 years","Total","Percentage","6.3"
"2015","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","13.2"
"2015","Spain","Total","From 15 to 64 years","Total","Percentage","25.2"
"2015","France","Total","From 15 to 64 years","Total","Percentage","16.0"
"2015","Italy","Total","From 15 to 64 years","Total","Percentage","14.1"
"2015","Portugal","Total","From 15 to 64 years","Total","Percentage","22.0"
"2015","Finland","Total","From 15 to 64 years","Total","Percentage","15.1"
"2015","United Kingdom","Total","From 15 to 64 years","Total","Percentage","6.1"
"2016","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","13.2"
"2016","Spain","Total","From 15 to 64 years","Total","Percentage","26.1"
"2016","France","Total","From 15 to 64 years","Total","Percentage","16.2"
"2016","Italy","Total","From 15 to 64 years","Total","Percentage","14.0"
"2016","Portugal","Total","From 15 to 64 years","Total","Percentage","22.3"
"2016","Finland","Total","From 15 to 64 years","Total","Percentage","15.6"
"2016","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.9"
