"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"2002","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","8.6"
"2002","Spain","Total","From 15 to 64 years","Total","Percentage","11.2"
"2002","France","Total","From 15 to 64 years","Total","Percentage","8.7"
"2002","Italy","Total","From 15 to 64 years","Total","Percentage","9.3"
"2002","Portugal","Total","From 15 to 64 years","Total","Percentage","4.8"
"2002","Finland","Total","From 15 to 64 years","Total","Percentage","10.5"
"2002","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.1"
"2003","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","9.9"
"2003","Spain","Total","From 15 to 64 years","Total","Percentage","11.3"
"2003","France","Total","From 15 to 64 years","Total","Percentage","8.3"
"2003","Italy","Total","From 15 to 64 years","Total","Percentage","9.0"
"2003","Portugal","Total","From 15 to 64 years","Total","Percentage","6.5"
"2003","Finland","Total","From 15 to 64 years","Total","Percentage","10.5"
"2003","United Kingdom","Total","From 15 to 64 years","Total","Percentage","4.9"
"2004","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","10.8"
"2004","Spain","Total","From 15 to 64 years","Total","Percentage","11.1"
"2004","France","Total","From 15 to 64 years","Total","Percentage","8.9"
"2004","Italy","Total","From 15 to 64 years","Total","Percentage","8.0"
"2004","Portugal","Total","From 15 to 64 years","Total","Percentage","6.7"
"2004","Finland","Total","From 15 to 64 years","Total","Percentage","10.4"
"2004","United Kingdom","Total","From 15 to 64 years","Total","Percentage","4.6"
"2005","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","11.3"
"2005","Spain","Total","From 15 to 64 years","Total","Percentage","9.2"
"2005","France","Total","From 15 to 64 years","Total","Percentage","8.5"
"2005","Italy","Total","From 15 to 64 years","Total","Percentage","7.8"
"2005","Portugal","Total","From 15 to 64 years","Total","Percentage","8.0"
"2005","Finland","Total","From 15 to 64 years","Total","Percentage","8.5"
"2005","United Kingdom","Total","From 15 to 64 years","Total","Percentage","4.8"
"2006","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","10.4"
"2006","Spain","Total","From 15 to 64 years","Total","Percentage","8.5"
"2006","France","Total","From 15 to 64 years","Total","Percentage","8.5"
"2006","Italy","Total","From 15 to 64 years","Total","Percentage","6.9"
"2006","Portugal","Total","From 15 to 64 years","Total","Percentage","8.1"
"2006","Finland","Total","From 15 to 64 years","Total","Percentage","7.8"
"2006","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.4"
"2007","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","8.8"
"2007","Spain","Total","From 15 to 64 years","Total","Percentage","8.3"
"2007","France","Total","From 15 to 64 years","Total","Percentage","7.7"
"2007","Italy","Total","From 15 to 64 years","Total","Percentage","6.2"
"2007","Portugal","Total","From 15 to 64 years","Total","Percentage","8.5"
"2007","Finland","Total","From 15 to 64 years","Total","Percentage","6.9"
"2007","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.3"
"2008","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","7.6"
"2008","Spain","Total","From 15 to 64 years","Total","Percentage","11.3"
"2008","France","Total","From 15 to 64 years","Total","Percentage","7.1"
"2008","Italy","Total","From 15 to 64 years","Total","Percentage","6.8"
"2008","Portugal","Total","From 15 to 64 years","Total","Percentage","8.0"
"2008","Finland","Total","From 15 to 64 years","Total","Percentage","6.4"
"2008","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.7"
"2009","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","7.9"
"2009","Spain","Total","From 15 to 64 years","Total","Percentage","18.0"
